caminho	tamanho	hash_md5	logger	extensao	pista	carro	data	sessao	duplicata_de
Trabalho/Outras_Categorias/Estudo_outras_series/Race3/F3/Gabriel Bortoleto/F309-016/2021-02-02/Gabriel Bortoleto_F309-016_20210202_154104_Interlagos_4300133_c_1153.rrk	76672	835b8547f1b5d3a36c9d000e941f938c	AiM	rrk	Interlagos	F309-016	20210202		Trabalho/Telemetria/F3/Interlagos/Gabriel Bortoleto_F309-016_20210202_154104_Interlagos_4300133_c_1153.rrk
Trabalho/Outras_Categorias/Estudo_outras_series/Race3/F3/Gabriel Bortoleto/F309-016/2021-02-02/Gabriel Bortoleto_F309-016_20210202_154104_Interlagos_4300133_c_1153.xrz	789095	991b875b86a2a14f3c9fed66abe9d9bb	AiM	xrz	Interlagos	F309-016	20210202		Trabalho/Telemetria/F3/Gabriel Bortoleto/F309-016/2021-02-02/Gabriel Bortoleto_F309-016_20210202_154104_Interlagos_4300133_c_1153.xrz
Trabalho/Outras_Categorias/Estudo_outras_series/Race3/F3/Gabriel Bortoleto/F309-016/2021-02-02/Gabriel Bortoleto_F309-016_20210202_151902_Interlagos_4300133_c_1152.gpk	609504	f2eca3a33538d0d6328a51a1eb6094f0	AiM	gpk	Interlagos	F309-016	20210202		Trabalho/Telemetria/F3/Interlagos/Gabriel Bortoleto_F309-016_20210202_151902_Interlagos_4300133_c_1152.gpk
Trabalho/Outras_Categorias/Estudo_outras_series/Race3/F3/Gabriel Bortoleto/F309-016/2021-02-02/Gabriel Bortoleto_F309-016_20210202_151902_Interlagos_4300133_c_1152.rrk	135488	e631a17ed4d2d9fec669066f282d0117	AiM	rrk	Interlagos	F309-016	20210202		Trabalho/Telemetria/F3/Interlagos/Gabriel Bortoleto_F309-016_20210202_151902_Interlagos_4300133_c_1152.rrk
Trabalho/Outras_Categorias/Estudo_outras_series/Race3/F3/Gabriel Bortoleto/F309-016/2021-02-02/Gabriel Bortoleto_F309-016_20210202_101937_Interlagos_4300133_c_1147.drk	940504	98c9490ad36cec0a1b0688473ff0b5ab	AiM	drk	Interlagos	F309-016	20210202		Trabalho/Telemetria/F3/Interlagos/Gabriel Bortoleto_F309-016_20210202_101937_Interlagos_4300133_c_1147.drk
Trabalho/Outras_Categorias/Estudo_outras_series/Race3/F3/Gabriel Bortoleto/F309-016/2021-02-02/Gabriel Bortoleto_F309-016_20210202_123824_Interlagos_4300133_c_1149.gpk	854304	bc1e6454dfc29e5896a61af4c9f0dc93	AiM	gpk	Interlagos	F309-016	20210202		Trabalho/Telemetria/F3/Interlagos/Gabriel Bortoleto_F309-016_20210202_123824_Interlagos_4300133_c_1149.gpk
Trabalho/Outras_Categorias/Estudo_outras_series/Race3/F3/Gabriel Bortoleto/F309-016/2021-02-02/Gabriel Bortoleto_F309-016_20210202_125340_Interlagos_4300133_c_1150.gpk	473568	cb437abdb36e82030bb56889a2102494	AiM	gpk	Interlagos	F309-016	20210202		Trabalho/Telemetria/F3/Interlagos/Gabriel Bortoleto_F309-016_20210202_125340_Interlagos_4300133_c_1150.gpk
Trabalho/Outras_Categorias/Estudo_outras_series/Race3/F3/Gabriel Bortoleto/F309-016/2021-02-02/Gabriel Bortoleto_F309-016_20210202_123824_Interlagos_4300133_c_1149.rrk	189888	e2a6a566c3e56e6b02456029b43d6463	AiM	rrk	Interlagos	F309-016	20210202		Trabalho/Telemetria/F3/Interlagos/Gabriel Bortoleto_F309-016_20210202_123824_Interlagos_4300133_c_1149.rrk
Trabalho/Outras_Categorias/Estudo_outras_series/Race3/F3/Gabriel Bortoleto/F309-016/2021-02-02/Gabriel Bortoleto_F309-016_20210202_125340_Interlagos_4300133_c_1150.rrk	105280	dd9d758f3eae5c9199327011828497f9	AiM	rrk	Interlagos	F309-016	20210202		Trabalho/Telemetria/F3/Interlagos/Gabriel Bortoleto_F309-016_20210202_125340_Interlagos_4300133_c_1150.rrk
Trabalho/Outras_Categorias/Estudo_outras_series/Race3/F3/Gabriel Bortoleto/F309-016/2021-02-02/Gabriel Bortoleto_F309-016_20210202_121727_Interlagos_4300133_c_1148.gpk	965760	a78ef5057a60f2bc0912051f98808be8	AiM	gpk	Interlagos	F309-016	20210202		Trabalho/Telemetria/F3/Interlagos/Gabriel Bortoleto_F309-016_20210202_121727_Interlagos_4300133_c_1148.gpk
Trabalho/Outras_Categorias/Estudo_outras_series/Race3/F3/Gabriel Bortoleto/F309-016/2021-02-02/Gabriel Bortoleto_F309-016_20210202_121727_Interlagos_4300133_c_1148.rrk	214656	7bd3943b2a3b71c0f5c290547fefddd6	AiM	rrk	Interlagos	F309-016	20210202		Trabalho/Telemetria/F3/Interlagos/Gabriel Bortoleto_F309-016_20210202_121727_Interlagos_4300133_c_1148.rrk
Trabalho/Outras_Categorias/Estudo_outras_series/Race3/F3/Gabriel Bortoleto/F309-016/2021-02-02/Gabriel Bortoleto_F309-016_20210202_101937_Interlagos_4300133_c_1147.gpk	729888	94b24cb4313eca057ee83250c1f88aa0	AiM	gpk	Interlagos	F309-016	20210202		Trabalho/Telemetria/F3/Interlagos/Gabriel Bortoleto_F309-016_20210202_101937_Interlagos_4300133_c_1147.gpk
Trabalho/Outras_Categorias/Estudo_outras_series/Race3/F3/Gabriel Bortoleto/F309-016/2021-02-02/Gabriel Bortoleto_F309-016_20210202_101937_Interlagos_4300133_c_1147.rrk	162240	624c62f94f9f147e7a500ca0977106d8	AiM	rrk	Interlagos	F309-016	20210202		Trabalho/Telemetria/F3/Interlagos/Gabriel Bortoleto_F309-016_20210202_101937_Interlagos_4300133_c_1147.rrk
Trabalho/Outras_Categorias/Estudo_outras_series/Race3/F3/Gabriel Bortoleto/F309-016/2021-02-02/Gabriel Bortoleto_F309-016_20210202_093750_Interlagos_4300133_c_1146.rrk	251776	00c18e965646e47f2f6cf507ea927ce2	AiM	rrk	Interlagos	F309-016	20210202		Trabalho/Telemetria/F3/Interlagos/Gabriel Bortoleto_F309-016_20210202_093750_Interlagos_4300133_c_1146.rrk
